n-value	grahamsScan	jarvisMarch
1000	0.0434ms	0.035ms
2000	0.2286ms	0.2214ms
3000	0.6356ms	0.5236ms
4000	1.1514ms	0.8784ms
5000	1.7986ms	1.2778ms
6000	2.6424ms	1.9288ms
7000	3.6452ms	2.669ms
8000	4.788ms	3.5096ms
9000	6.1038ms	4.433ms
10000	7.5634ms	5.4932ms
11000	9.3848ms	6.7958ms
12000	11.3436ms	8.208ms
13000	13.4296ms	9.747ms
14000	15.8022ms	11.3952ms
15000	18.2442ms	13.1992ms
16000	20.9002ms	15.303ms
17000	23.875ms	17.4484ms
18000	26.7078ms	19.5264ms
19000	29.6548ms	21.828ms
20000	32.8368ms	24.1434ms
