swan-value	grahamsScan	jarvisMarch
1000	0.1174ms	1.2536ms
2000	0.3584ms	5.9594ms
3000	0.7718ms	16.3462ms
4000	1.38ms	35.8536ms
5000	2.1254ms	64.6002ms
6000	3.0112ms	105.605ms
7000	4.0668ms	162.939ms
8000	5.293ms	236.033ms
9000	6.714ms	326.433ms
10000	8.1868ms	435.617ms
11000	9.9508ms	565.552ms
12000	11.8884ms	722.656ms
13000	13.5046ms	907.832ms
14000	15.8026ms	1121.94ms
15000	17.7086ms	1365.45ms
16000	20.285ms	1645.67ms
17000	22.634ms	1964.22ms
18000	25.0392ms	2317.01ms
19000	28.0478ms	2707.23ms
20000	31.2452ms	3140.19ms
